"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.521109426E0,5.018240809E-1,-1.892881393E-1,2.551714182E-1,5.939443245E-1
2.531224009E0,5.446682572E-1,-9.485788345E-1,1.473756433E-1,1.103714137E0
2.540340832E0,6.386268735E-1,-1.705374718E0,1.473422050E-1,1.826980278E0
2.550414478E0,9.042209983E-1,-2.933998108E0,1.739573479E-2,3.070221999E0
2.560083332E0,9.022613168E-1,-2.934165001E0,1.828557253E-2,3.069810108E0
2.570968853E0,1.029986262E0,-3.537999630E0,-5.438321829E-2,3.685277549E0
2.580248541E0,1.133427501E0,-4.170158863E0,-5.292940140E-2,4.321768662E0
2.590208124E0,1.236925125E0,-4.687374115E0,-9.922045469E-2,4.848845693E0
2.600498593E0,1.304122210E0,-5.178804874E0,7.186412811E-3,5.340487460E0
2.610675988E0,1.350453734E0,-5.695975304E0,8.621692657E-3,5.853881984E0
2.620147551E0,1.416956902E0,-6.102150917E0,7.812368870E-2,6.264991300E0
2.630457395E0,1.415722132E0,-6.523533821E0,1.367796659E-1,6.676786004E0
2.640047134E0,1.404104352E0,-6.518328667E0,1.819756031E-1,6.670324787E0
2.650452811E0,1.393617392E0,-7.112052441E0,1.543920040E-1,7.248951389E0
2.660027811E0,1.392708778E0,-7.112019062E0,1.555453539E-1,7.248768670E0
2.671353905E0,1.413306475E0,-7.296970844E0,3.613026142E-1,7.441354599E0
2.680092447E0,1.412488580E0,-7.296959400E0,3.621391058E-1,7.441228743E0
2.690211978E0,1.275327563E0,-7.080879211E0,2.946031690E-1,7.200840356E0
2.700422082E0,1.303818703E0,-7.077233315E0,2.955600619E-1,7.202397542E0
2.710786197E0,1.092606068E0,-6.674863815E0,9.895086288E-3,6.763704080E0
2.720750988E0,1.091989875E0,-6.454442024E0,-4.574990273E-2,6.546323914E0
2.730166822E0,8.013923764E-1,-6.006394386E0,-3.178517818E-1,6.067951303E0
2.740213280E0,7.056124806E-1,-5.575099945E0,-3.533624411E-1,5.630674328E0
2.750257134E0,6.330422163E-1,-5.058921337E0,-2.723693848E-1,5.105645172E0
2.760611509E0,5.564090610E-1,-4.397924900E0,-2.493739128E-3,4.432983272E0
2.770871770E0,3.502498269E-1,-3.679264069E0,-6.622791290E-3,3.695903528E0
2.780050103E0,3.121823072E-1,-3.114003658E0,-1.196479797E-1,3.131899139E0
2.790280832E0,1.348432899E-1,-2.563642979E0,-1.794496179E-1,2.573451029E0
2.800633280E0,4.945111275E-2,-1.940963745E0,-3.471821547E-2,1.941903970E0
2.810424322E0,8.842766285E-3,-1.502838135E0,-2.027778625E-1,1.516482613E0
2.820830780E0,2.949119806E-1,-9.186658859E-1,-1.345391870E-1,9.741770266E-1
2.830410624E0,2.822259068E-1,-2.673082352E-1,5.416816473E-2,3.924784646E-1
2.840582082E0,5.560901761E-1,4.600229263E-1,5.958871245E-1,9.359160443E-1
2.850318593E0,5.457618237E-1,1.141724586E0,6.622676849E-1,1.428282005E0
2.860200780E0,8.928841352E-1,1.830740929E0,5.424510837E-1,2.107868024E0
2.870396145E0,8.787695169E-1,2.246012688E0,4.670135379E-1,2.456605484E0
2.880593957E0,1.128089786E0,2.648022652E0,2.815863490E-1,2.892041044E0
2.890715728E0,1.260907531E0,3.102384567E0,8.846968412E-2,3.350000700E0
2.900039270E0,1.497257471E0,3.638834000E0,-1.230648756E-1,3.936754726E0
2.910234530E0,1.536534667E0,4.049225807E0,-7.845944166E-2,4.331665304E0
2.920491561E0,1.371524930E0,4.719727516E0,-8.083033562E-2,4.915632411E0
2.930402082E0,1.126786947E0,5.362302780E0,-3.044131994E-1,5.487859995E0
2.940097395E0,7.851819992E-1,5.832018852E0,-8.467946649E-1,5.945251540E0
2.950635572E0,4.551478922E-1,6.329865456E0,-1.121740937E0,6.444583696E0
2.960074426E0,2.477963269E-2,6.608383179E0,-1.439247131E0,6.763340489E0
2.970290780E0,-3.253972530E-1,6.733680725E0,-1.507324934E0,6.907993047E0
2.980103801E0,-4.703561664E-1,6.853624344E0,-1.398693681E0,7.010687954E0
2.990336301E0,-8.160255551E-1,7.216881752E0,-1.161501050E0,7.355159048E0
3.000367030E0,-1.121551394E0,7.332170486E0,-9.583731890E-1,7.479109622E0
3.011634582E0,-1.291517615E0,7.370850563E0,-9.375119209E-1,7.541643347E0
3.020082603E0,-1.309540153E0,7.240993500E0,-8.118597269E-1,7.403107354E0
3.030616249E0,-1.250808358E0,6.956674576E0,-5.666499138E-1,7.090905078E0
3.040199582E0,-8.412714601E-1,6.362709045E0,-1.487279534E-1,6.419807168E0
3.050374478E0,-6.572446823E-1,5.844862938E0,1.449221373E-1,5.883485001E0
3.060363280E0,-3.283435404E-1,5.317823410E0,1.406171322E-1,5.329805670E0
3.070183332E0,-2.331889868E-1,4.859343529E0,7.445577383E-1,4.921581337E0
3.080431249E0,9.276619554E-2,4.207726479E0,5.371034145E-1,4.242882011E0
3.090515988E0,2.115474939E-1,3.545850754E0,2.386717796E-1,3.560164902E0
3.100358020E0,4.487578273E-1,2.817934990E0,2.547266781E-1,2.864790896E0
3.110268749E0,5.830462575E-1,2.134067535E0,1.564593911E-1,2.217806738E0
3.120035676E0,7.321651578E-1,1.540453911E0,1.547053456E-1,1.712599724E0
3.130224790E0,6.824169159E-1,8.902606964E-1,1.622491479E-1,1.133393904E0
